date,close,open,high,low,volume,SMA_7d,ATR_7d,BB_Upper_7d,BB_Lower_7d,Return_Std_7d,SMA_14d,ATR_14d,BB_Upper_14d,BB_Lower_14d,Return_Std_14d,SMA_30d,ATR_30d,BB_Upper_30d,BB_Lower_30d,Return_Std_30d,SMA_50d,ATR_50d,BB_Upper_50d,BB_Lower_50d,Return_Std_50d
2025-02-09,96502.8008211955,95889.9119741192,97342.886854819,94775.2109297554,9882.80334199357,97423.95133950585,4478.249047803028,101086.14021698479,93761.7624620269,2.1954404385534154,99618.80845253154,4215.17158690659,105680.13514264779,93557.48176241528,1.9817254290615525,100453.43936511276,4254.8956178675,107705.30660977862,93201.5721204469,2.0987034932651363,,,,,
2025-02-10,97490.2991705221,97456.1668028822,98370.7504896998,95314.9285375637,4724.381792033,96860.22152912871,3369.4336766288698,97954.90468227971,95765.53837597772,1.4814946427704363,99290.21801426676,4048.6055831310764,105272.5851916964,93307.85083683713,2.0183869565417396,100550.22845436091,4318.561117537866,107551.25406471225,93549.20284400957,2.1051049095105827,,,,,
2025-02-11,95827.6528436408,95567.5073072442,98528.7378444808,94887.3250510873,8208.61270720682,96577.85214714067,3053.904091966827,97548.8995367524,95606.80475752894,0.8979171830626973,98899.30978663293,4058.9408188286116,105029.25282758118,92769.36674568469,2.049966396313602,100593.68132192675,4384.304904368349,107454.72134403569,93732.64129981781,2.1312743231305347,,,,,
2025-02-12,97915.2900812202,97863.0599213557,98145.0212876138,94193.1241838364,11007.3513917791,96762.14197060428,3196.571682218113,98167.64377285913,95356.64016834943,1.1861806366153536,98482.87551315238,4093.6418291734267,103951.07185426673,93014.67917203803,2.0261795075320714,100706.10540869873,4309.3867380851225,107260.53728096586,94151.6735364316,2.165771313484462,,,,,
2025-02-13,96678.8146099012,96463.8777649695,98131.8582087972,95308.4056373528,6002.49235332868,96776.2822144531,3103.7597919546993,98175.20089248884,95377.36353641735,1.3101649831267013,97903.50936298305,4071.879826343527,102052.83957378531,93754.17915218079,1.9961164468057058,100710.26457951307,4303.468459866673,107253.94365915332,94166.58549987282,2.1468255424047338,,,,,
2025-02-14,97553.755288536,97196.188704115,98883.7915235882,96373.598622567,4595.77037078509,96921.13322917811,2817.8123673592554,98412.69330089795,95429.57315745828,1.3507366457475267,97553.09307762134,3929.4072681731122,100768.46458213909,94337.72157310358,1.9699212870483294,100611.74597856171,4246.926125470001,107256.16367503474,93967.32828208868,2.013099097179022,,,,,
2025-02-15,97642.7920403064,97607.5551949178,98020.0111122488,97290.1467850986,5827.7841806963,97087.34355076031,2754.3310819980566,98608.1631539746,95566.52394754603,1.3478114006342483,97339.64538418257,3801.116450287413,100028.47260589442,94650.81816247072,1.926830086629874,100533.3885095347,4155.538445392229,107262.87442357454,93803.90259549487,2.0116376817608534,,,,,
2025-02-16,96157.6042409799,96917.2498920068,97774.3691989421,96089.3150096093,12252.336034314,97038.02975358666,2628.2422626079433,98665.92009092584,95410.13941624748,1.4958354634099433,97230.99054654625,3553.2456552054855,99982.98314681434,94478.99794627816,1.805712653141266,100268.15269093656,4013.164261225429,107040.6600601786,93495.64532169452,1.865710084587405,,,,,
2025-02-17,95837.3362085539,95939.6165725735,97074.5679619846,95269.3844276535,4750.69190608342,96801.89218759119,2449.5796314929444,98594.80994712394,95008.97442805844,1.4208741731870207,96831.05685835997,2909.5066540609073,98259.47567645706,95402.63804026287,1.4044253139982323,99981.3506352932,3984.5779410917994,106751.29642245914,93211.40484812726,1.8627304811940242,,,,,
2025-02-18,95671.8962902099,95329.3119690117,96764.0411430524,93418.0442905355,8433.58910692913,96779.64125138677,2407.377354224859,98631.86763034009,94927.41487243345,1.266257245175256,96678.74669926372,2730.640723095843,98114.87711296004,95242.6162855674,1.063945425651631,99793.99247132259,3877.940208851396,106723.01215172885,92864.97279091633,1.7891042202315368,,,,,
2025-02-19,96685.0739421655,96582.1848510925,96888.3330001149,95083.0882588855,6908.10027497564,96603.89608866468,2100.7127310037154,98163.62982963154,95044.16234769783,0.9815124192362171,96683.01902963447,2648.6422066109144,98118.81986704521,95247.21819222372,1.063616280972182,99609.21981377345,3619.0790097221093,106565.21492935444,92653.22469819247,1.7921373766439197,,,,,
2025-02-20,98356.2539966563,98180.6775578528,98784.3000701216,96480.5311592148,6615.92943285379,96843.53028677255,2026.4722080697704,98894.92454834563,94792.13602519948,1.0762416005691,96809.90625061284,2565.116000012235,98498.2022406632,95121.61026056248,1.158001014707952,99348.15708235219,3459.0391717919024,105855.87893394186,92840.43523076252,1.663404827142603,,,,,
